NUMERO DE USINAS
XXX
165
NUMERO DAS USINAS NO CADASTRO
1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 
XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX 
1   2   4   6   7   8   9   10  11  12  14  15  16  17  18  29  203 30  20  21  24  25  26  27  28  31  32  33  290 262 241 311 312 315 34  117 118 108 109 119 107 37  38  39  40  42  43  45  153 46  47  48  49  249 50  51  52  57  61  62  63  66  71  72  73  74  76  77  78  82  83  278 304 305 281 195 86  88  89  90  91  92  93  94  103 95  101 102 97  98  99  110 111 112 113 114 115 215 120 121 122 123 125 180 181 124 126 127 129 130 182 185 131 147 146 133 217 134 135 192 193 139 141 143 144 283 148 154 189 155 156 162 169 172 173 174 175 178 190 251 252 253 257 261 267 275 288 314 272 227 228 229 230 310 276 279 196 285 287 277 286 204 280 284 145 
Hr  Dd  Mm  Ano
XX  XX  XX  XXXX
00  29  09  2024
Dia inic(1-SAB...7-SEX); sem da FCF; n. semanas; pre-interesse
X X X X
2 1 1 0
VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
001     CAMARGOS   1    29       F                 31
001     CAMARGOS   1    30       F                 31
001     CAMARGOS   1    01       F                 30
001     CAMARGOS   1    02       F                 30
001     CAMARGOS   1    03       F                 32
001     CAMARGOS   1    04       F                 32
002     ITUTINGA   1    29       F                  1
002     ITUTINGA   1    30       F                  1
002     ITUTINGA   1    01       F                  1
002     ITUTINGA   1    02       F                  1
002     ITUTINGA   1    03       F                  1
002     ITUTINGA   1    04       F                  1
004 FUNIL-GRANDE   1    29       F                 34
004 FUNIL-GRANDE   1    30       F                 34
004 FUNIL-GRANDE   1    01       F                 34
004 FUNIL-GRANDE   1    02       F                 33
004 FUNIL-GRANDE   1    03       F                 34
004 FUNIL-GRANDE   1    04       F                 35
006       FURNAS   1    29       F                 73
006       FURNAS   1    30       F                 73
006       FURNAS   1    01       F                 73
006       FURNAS   1    02       F                 74
006       FURNAS   1    03       F                 78
006       FURNAS   1    04       F                 81
007   M.DEMORAES   1    29       F                 16
007   M.DEMORAES   1    30       F                 16
007   M.DEMORAES   1    01       F                 16
007   M.DEMORAES   1    02       F                 16
007   M.DEMORAES   1    03       F                 16
007   M.DEMORAES   1    04       F                 16
008     ESTREITO   1    29       F                  4
008     ESTREITO   1    30       F                  4
008     ESTREITO   1    01       F                  4
008     ESTREITO   1    02       F                  4
008     ESTREITO   1    03       F                  4
008     ESTREITO   1    04       F                  4
009      JAGUARA   1    29       F                  2
009      JAGUARA   1    30       F                  2
009      JAGUARA   1    01       F                  2
009      JAGUARA   1    02       F                  2
009      JAGUARA   1    03       F                  2
009      JAGUARA   1    04       F                  2
010    IGARAPAVA   1    29       F                  4
010    IGARAPAVA   1    30       F                  4
010    IGARAPAVA   1    01       F                  4
010    IGARAPAVA   1    02       F                  4
010    IGARAPAVA   1    03       F                  4
010    IGARAPAVA   1    04       F                  4
011 VOLTA.GRANDE   1    29       F                 10
011 VOLTA.GRANDE   1    30       F                 10
011 VOLTA.GRANDE   1    01       F                 10
011 VOLTA.GRANDE   1    02       F                 10
011 VOLTA.GRANDE   1    03       F                 10
011 VOLTA.GRANDE   1    04       F                 10
012   P.COLOMBIA   1    29       F                 24
012   P.COLOMBIA   1    30       F                 24
012   P.COLOMBIA   1    01       F                 24
012   P.COLOMBIA   1    02       F                 24
012   P.COLOMBIA   1    03       F                 24
012   P.COLOMBIA   1    04       F                 23
014      CACONDE   1    29       F                 11
014      CACONDE   1    30       F                 11
014      CACONDE   1    01       F                 11
